Site Name,Site Code,Ref Station,Site Server Name,Sat. Sys.,Latitude,Longitude,Height,Use Physical Coordinates,Physical Latitude,Physical Longitude,Physical Height,Reciever Type,Antenna Type,Total Vertical Height,Cluster Name,Master in Cell,Aux in Cell
GSKK,GSKK,108,Global Sites,G/R/E/C/J,"35° 13' 46.72650"" S","173° 56' 56.48081"" E",119.249,Yes,"35° 13' 46.69339"" S","173° 56' 56.48651"" E",119.2286,SEPT POLARX5,AS10,0,Auckland/Waikato,GSKKfixed,GSHUfixed; GSMDfixed; GSOHfixed; GSMAfixed; GSTU
GSWR,GSWR,81,Global Sites,G/R/E/C/-,"35° 43' 20.83912"" S","174° 18' 54.55203"" E",56.222,Yes,"35° 43' 20.80646"" S","174° 18' 54.55765"" E",56.2128,LEICA GR30,LEIAR10         NONE,0,Auckland/Waikato,GSWRfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
GSDR,GSDR,80,Global Sites,G/R/E/C/-,"35° 56' 03.95319"" S","173° 52' 52.96078"" E",49.0896,Yes,"35° 56' 03.92060"" S","173° 52' 52.96620"" E",49.0652,LEICA GR30,LEIAS10         NONE,0,Auckland/Waikato,GSDRfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSHT
GSMH,GSMH,49,Global Sites,G/R/E/C/-,"36° 05' 55.94327"" S","174° 35' 08.74510"" E",81.846,Yes,"36° 05' 55.91067"" S","174° 35' 08.75031"" E",81.8299,LEICA GR30,LEIAS10         NONE,0,Auckland/Waikato,GSMHfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
GSSB,GSSB,66,Global Sites,G/R/E/C/J,"36° 34' 18.38774"" S","174° 22' 39.40167"" E",68.186,Yes,"36° 34' 18.35521"" S","174° 22' 39.40593"" E",68.1613,LEICA GR30,LEIAS10         NONE,0,Auckland/Waikato,GSSBfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
GSMD,GSMD,104,Global Sites,G/R/E/C/J,"36° 36' 28.90258"" S","174° 37' 50.55857"" E",70.728,Yes,"36° 36' 28.87023"" S","174° 37' 50.56306"" E",70.7303,SEPT POLARX5,AS10,0,Auckland/Waikato,GSMDfixed,GSHUfixed; GSOHfixed; GSMAfixed; GSTUfixed; GSHU
GSPL,GSPL,37,Global Sites,G/R/E/C/-,"36° 39' 15.48964"" S","174° 41' 19.51574"" E",126.3562,Yes,"36° 39' 15.45741"" S","174° 41' 19.52011"" E",126.3501,LEICA GS10,LEIAS10         NONE,0,,,
trec,trec,132,Global Sites,G/-/-/-/-,"36° 39' 21.00000"" S","172° 37' 10.00000"" E",108.9807,No,"36° 40' 21.00000"" S","172° 33' 10.00000"" E",55.1675,SEPT POLARX5,LEIAR10         NONE,0,,,
x647,2GR0,215,Global Sites,G/R/E/C/-,"36° 44' 10.00000"" S","172° 36' 20.00000"" E",29.1908,Yes,"36° 44' 10.00000"" S","172° 36' 20.00000"" E",29.2044,LEICA GRX1200+GNSS,LEIAR10         NONE,0,,,
xGRX,xGRX,230,Global Sites,G/R/E/C/-,"36° 44' 10.00000"" S","172° 36' 20.00000"" E",29.1908,No,"36° 44' 10.00000"" S","172° 36' 20.00000"" E",29.2044,LEICA GRX1200+GNSS,LEIAR10         NONE,0,,,
7651,7651,234,Global Sites,G/R/E/C/-,"36° 44' 10.00000"" S","172° 36' 20.00000"" E",29.1908,No,"36° 44' 10.00000"" S","172° 36' 20.00000"" E",29.2044,LEICA GR30,LEIAR10         NONE,0,,,
1778,1778,47,Global Sites,G/R/E/C/J,"36° 44' 10.00000"" S","172° 36' 20.00000"" E",29.1908,No,"36° 44' 10.00000"" S","172° 36' 20.00000"" E",29.2044,LEICA GR30,LEIAR10         NONE,0,,,
GSAY,GSAY,91,Global Sites,G/R/E/C/J,"36° 44' 28.91724"" S","174° 43' 49.56492"" E",109.114,Yes,"36° 44' 28.88484"" S","174° 43' 49.56944"" E",109.0938,LEICA GR50,LEIAR10         NONE,0,Auckland/Waikato,GSAYfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
GSHU,GSHU,105,Global Sites,G/R/E/C/J,"36° 46' 26.40112"" S","174° 32' 20.40669"" E",90.897,Yes,"36° 46' 26.36865"" S","174° 32' 20.41086"" E",90.8887,SEPT POLARX5,LEIAR10         NONE,0,Auckland/Waikato,GSHUfixed; GSHUtest,GSMDfixed; GSOHfixed; GSMAfixed; GSTUfixed; GSPO
GSGLx,GSGx,98,Global Sites,G/R/E/C/J,"36° 51' 52.65367"" S","174° 52' 03.27134"" E",62.2121,Yes,"36° 51' 52.62135"" S","174° 52' 03.27552"" E",62.2007,LEICA GR30,LEIAR10         NONE,0,,,
GSGL,GSGL,75,Global Sites,G/R/E/C/J,"36° 51' 52.65367"" S","174° 52' 03.27134"" E",62.2121,Yes,"36° 51' 52.62135"" S","174° 52' 03.27552"" E",62.2007,SEPT POLARX5,LEIAR10         NONE,0,Auckland/Waikato,GSGLfixed,
CORM,CORM,263,Global Sites,G/R/E/C/J,"36° 51' 55.55985"" S","175° 44' 58.40635"" E",170.242,No,"0° 00' 00.00000"" N","0° 00' 00.00000"" E",0,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,,,
GSUT,GSUT,58,Global Sites,G/R/E/C/-,"36° 52' 50.52970"" S","174° 42' 25.99078"" E",72.649,Yes,"36° 52' 50.49727"" S","174° 42' 25.99502"" E",72.6307,LEICA GR30,LEIAR10         NONE,0,Auckland/Waikato,GSUTfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
GSBD,GSBD,127,Global Sites,G/R/E/C/J,"36° 52' 52.41189"" S","174° 59' 49.09289"" E",62.4437,Yes,"36° 52' 52.38003"" S","174° 59' 49.09705"" E",62.4143,SEPT POLARX5,LEIAS10         NONE,0,Auckland/Waikato,,GSTKfixed; GSPO-0129
GSCL,GSCL,85,Global Sites,G/R/E/C/J,"36° 58' 55.78534"" S","175° 02' 34.06717"" E",47.9008,No,"36° 59' 59.23811"" S","174° 47' 21.99316"" E",69.6077,TRIMBLE NETR9,ADVNULLANTENNA,0,,,
GSAA,GSAA,114,Global Sites,G/R/E/C/J,"36° 59' 59.27024"" S","174° 47' 21.98885"" E",69.6327,Yes,"36° 59' 59.23811"" S","174° 47' 21.99316"" E",69.6077,SEPT POLARX5,AR10,0,Auckland/Waikato,GSAAfixed,GSTKfixed; GSPO-0129
GSTR,GSTR,123,Global Sites,G/R/-/-/-,"37° 00' 01.19143"" S","175° 50' 58.04922"" E",45.455,Yes,"37° 00' 01.16026"" S","175° 50' 58.05361"" E",45.4635,LEICA GRX1200,LEIAS10         NONE,0,,,
GSPK,GSPK,116,Global Sites,G/R/E/C/J,"37° 03' 44.51716"" S","174° 56' 24.50316"" E",55.1838,Yes,"37° 03' 44.48509"" S","174° 56' 24.50714"" E",55.1616,SEPT POLARX5,LEIAS10         NONE,0,Auckland/Waikato,,GSTKfixed; GSPO-0129
GSTH,GSTH,23,Global Sites,G/R/E/C/-,"37° 08' 19.28328"" S","175° 32' 37.88646"" E",43.315,Yes,"37° 08' 19.25234"" S","175° 32' 37.89087"" E",43.3067,LEICA GR50,LEIAR10         NONE,0,Auckland/Waikato,GSTHfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
