Site Name,Site Code,Ref Station,Site Server Name,Sat. Sys.,Latitude,Longitude,Height,Use Physical Coordinates,Physical Latitude,Physical Longitude,Physical Height,Reciever Type,Antenna Type,Total Vertical Height,Cluster Name,Master in Cell,Aux in Cell
KTIA,KTIA,0,LINZ Sites,G/R/E/C/J,"35° 04' 08.15873"" S","173° 16' 23.19521"" E",127.433,Yes,"35° 04' 08.12541"" S","173° 16' 23.20108"" E",127.4219,TRIMBLE ALLOY,TRM115000.00    NONE,0.002,,,
WHNG,WHNG,87,LINZ Sites,G/R/E/C/J,"35° 48' 13.57788"" S","174° 18' 52.43929"" E",172.77,Yes,"35° 48' 13.54640"" S","174° 18' 52.44440"" E",172.7572,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,,,
WARK,WARK,34,LINZ Sites,G/R/E/C/J,"36° 26' 03.89165"" S","174° 39' 46.00568"" E",111.273,Yes,"36° 26' 03.85940"" S","174° 39' 46.01038"" E",111.2608,TRIMBLE ALLOY,TRM115000.00    NONE,0.002,Auckland/Waikato,WARKfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
AUCK,AUCK,1,LINZ Sites,G/R/E/C/J,"36° 36' 10.24073"" S","174° 50' 03.78764"" E",132.681,Yes,"36° 36' 10.20881"" S","174° 50' 03.79207"" E",132.6686,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,Auckland/Waikato,AUCKfixed,CORMfixed; GSAAfixed; GSCAfixed; GSDRfixed; GSHT
GSAY,GSAY,201,LINZ Sites,G/R/E/C/J,"36° 44' 28.91702"" S","174° 43' 49.56434"" E",109.1342,Yes,"36° 44' 28.89036"" S","174° 43' 49.56803"" E",109.1616,LEICA GR50,LEIAS10         NONE,0,,,
AUKT,AUKT,94,LINZ Sites,G/R/E/C/J,"36° 50' 37.53003"" S","174° 46' 13.51135"" E",40.065,No,"36° 36' 10.20881"" S","174° 50' 03.79207"" E",132.6686,Trimble Alloy,TRM115000.00    NONE,0.003,,,
CORM,CORM,61,LINZ Sites,G/R/E/C/J,"36° 51' 55.55985"" S","175° 44' 58.40635"" E",170.242,Yes,"36° 51' 55.52934"" S","175° 44' 58.41144"" E",170.2303,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,Auckland/Waikato,CORMfixed,AUCKfixed; GSAAfixed; GSCAfixed; GSDRfixed; GSHT
HIKB,HIKB,9,LINZ Sites,G/R/E/C/J,"37° 33' 39.74892"" S","178° 18' 12.06902"" E",107.289,Yes,"37° 33' 39.73578"" S","178° 18' 12.07450"" E",107.2957,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,,,
TRNG,TRNG,25,LINZ Sites,G/R/E/C/J,"37° 43' 43.72351"" S","176° 15' 39.15829"" E",151.101,Yes,"37° 43' 43.69330"" S","176° 15' 39.16096"" E",151.0982,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,Auckland/Waikato,TRNGfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
HAMT,HAMT,50,LINZ Sites,G/R/E/C/J,"37° 48' 24.31947"" S","175° 06' 33.11371"" E",69.4,Yes,"37° 48' 24.28785"" S","175° 06' 33.11605"" E",69.3881,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,Auckland/Waikato,HAMTfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
WHKT,WHKT,31,LINZ Sites,G/R/E/C/J,"37° 58' 54.07079"" S","177° 00' 49.96048"" E",231.832,Yes,"37° 58' 54.04950"" S","177° 00' 49.96636"" E",231.8217,TRIMBLE ALLOY,TRM115000.00    NONE,0.002,Auckland/Waikato,WHKTfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
RGUT,RGUT,95,LINZ Sites,G/R/E/C/J,"38° 10' 35.93659"" S","176° 11' 39.00217"" E",560.127,Yes,"38° 10' 35.90866"" S","176° 11' 39.00724"" E",560.0866,TRIMBLE ALLOY,TRM57971.00     NONE,0.055,,,
MAHO,MAHO,13,LINZ Sites,G/R/E/C/J,"38° 30' 46.83308"" S","174° 51' 14.71489"" E",302.484,Yes,"38° 30' 46.80133"" S","174° 51' 14.71655"" E",302.4715,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,Auckland/Waikato,MAHOfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
RGAR,RGAR,86,LINZ Sites,G/R/E/C/J,"38° 33' 43.36562"" S","176° 20' 34.91762"" E",410.28,Yes,"38° 33' 43.33961"" S","176° 20' 34.92032"" E",410.2393,TRIMBLE NETR9,TRM57971.00     NONE,0.002,,,
ARTA,ARTA,99,LINZ Sites,G/R/E/C/J,"38° 37' 03.30422"" S","176° 08' 11.08316"" E",369.654,Yes,"38° 37' 03.27586"" S","176° 08' 11.08517"" E",369.6181,TRIMBLE NETR9,TRM115000.00    NONE,0.055,,,
GISB,GISB,5,LINZ Sites,G/R/E/C/J,"38° 38' 07.21293"" S","177° 53' 09.72572"" E",87.177,Yes,"38° 38' 07.19965"" S","177° 53' 09.72615"" E",87.1728,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,,,
2406,2406,101,LINZ Sites,G/R/E/C/J,"38° 41' 30.66355"" S","175° 59' 41.20612"" E",442.776,Yes,"38° 41' 30.63407"" S","175° 59' 41.20830"" E",442.7591,TRIMBLE NETR9,TRM57971.00     NONE,0.055,,,
TAUP,TAUP,24,LINZ Sites,G/R/E/C/J,"38° 44' 33.78015"" S","176° 04' 51.58077"" E",427.021,Yes,"38° 44' 33.75259"" S","176° 04' 51.58455"" E",427.0145,TRIMBLE NETR9,TRM57971.00     NONE,0.055,Auckland/Waikato,TAUPfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
TBWT,TBWT,130,LINZ Sites,G/R/E/C/J,"39° 03' 25.21339"" S","174° 02' 18.25792"" E",29.354,No,"39° 03' 19.58339"" S","174° 02' 18.28316"" E",30,TRIMBLE NETR9,TRM55971.00     NONE,0.002,,,
NPLY,NPLY,19,LINZ Sites,G/R/E/C/J,"39° 10' 57.20696"" S","174° 07' 05.42662"" E",416.922,Yes,"39° 10' 57.17443"" S","174° 07' 05.42689"" E",416.9034,TRIMBLE ALLOY,TRM115000.00    NONE,0.055,,,
